🕒 Transcription Log
📁 Total .wav files found: 58949

[1/58949] SKIPPED: tmp0000j8nx.wav
[2/58949] SKIPPED: tmp002v8lqq.wav
[3/58949] SKIPPED: tmp002zdw9l.wav
[4/58949] SKIPPED: tmp003abqpx.wav
[5/58949] SKIPPED: tmp004hztel.wav
[6/58949] SKIPPED: tmp004z_cf8.wav
[7/58949] SKIPPED: tmp006ww88t.wav
[8/58949] SKIPPED: tmp00ariz47.wav
[9/58949] SKIPPED: tmp00b46jgg.wav
[10/58949] SKIPPED: tmp00bp9vuk.wav
[11/58949] SKIPPED: tmp00clye9o.wav
[12/58949] SKIPPED: tmp00dn07bt.wav
[13/58949] SKIPPED: tmp00doh5nn.wav
[14/58949] SKIPPED: tmp00ex11iy.wav
[15/58949] SKIPPED: tmp00fcj_wr.wav
[16/58949] SKIPPED: tmp00h2p62t.wav
[17/58949] SKIPPED: tmp00ivgf37.wav
[18/58949] SKIPPED: tmp00jwypb2.wav
[19/58949] SKIPPED: tmp00ktts8z.wav
[20/58949] SKIPPED: tmp00k_dc80.wav
[21/58949] SKIPPED: tmp00n3pqs2.wav
[22/58949] SKIPPED: tmp00o7d744.wav
[23/58949] SKIPPED: tmp00pfqcek.wav
[24/58949] SKIPPED: tmp00pmx37l.wav
[25/58949] SKIPPED: tmp00qubx34.wav
[26/58949] SKIPPED: tmp00rgs09b.wav
[27/58949] SKIPPED: tmp00rn6l9_.wav
[28/58949] SKIPPED: tmp00sna1sn.wav
[29/58949] SKIPPED: tmp00sstizr.wav
[30/58949] SKIPPED: tmp00sw__36.wav
[31/58949] SKIPPED: tmp00u2i1u4.wav
[32/58949] SKIPPED: tmp00uku03p.wav
[33/58949] SKIPPED: tmp00vquldu.wav
[34/58949] SKIPPED: tmp00w368ws.wav
[35/58949] SKIPPED: tmp00xt5dvv.wav
[36/58949] SKIPPED: tmp00xz6p_1.wav
[37/58949] SKIPPED: tmp00ygybgq.wav
[38/58949] SKIPPED: tmp00yk2g_9.wav
[39/58949] SKIPPED: tmp00_obbch.wav
[40/58949] SKIPPED: tmp011bnjln.wav
[41/58949] SKIPPED: tmp012_t3qf.wav
[42/58949] SKIPPED: tmp0130xvgx.wav
[43/58949] SKIPPED: tmp0136zsb6.wav
[44/58949] SKIPPED: tmp013ko4e9.wav
[45/58949] SKIPPED: tmp013ru2f1.wav
[46/58949] SKIPPED: tmp014t5h3o.wav
[47/58949] SKIPPED: tmp015sl1mu.wav
[48/58949] SKIPPED: tmp016dspg6.wav
[49/58949] SKIPPED: tmp016vcn74.wav
[50/58949] SKIPPED: tmp018ymmta.wav
[51/58949] SKIPPED: tmp019r7r3g.wav
[52/58949] SKIPPED: tmp01a8hu6l.wav
[53/58949] SKIPPED: tmp01ajje9j.wav
[54/58949] SKIPPED: tmp01azqyz4.wav
[55/58949] SKIPPED: tmp01b0f186.wav
[56/58949] SKIPPED: tmp01boeyw6.wav
[57/58949] SKIPPED: tmp01c1e53w.wav
[58/58949] SKIPPED: tmp01c78k2r.wav
[59/58949] SKIPPED: tmp01cy513x.wav
[60/58949] SKIPPED: tmp01e_52bz.wav
[61/58949] SKIPPED: tmp01fvzxfk.wav
[62/58949] SKIPPED: tmp01gkqnck.wav
[63/58949] SKIPPED: tmp01h1k39a.wav
[64/58949] SKIPPED: tmp01huuto1.wav
[65/58949] SKIPPED: tmp01jnsxlg.wav
[66/58949] SKIPPED: tmp01kl28je.wav
[67/58949] SKIPPED: tmp01laavoi.wav
[68/58949] SKIPPED: tmp01ng2p1i.wav
[69/58949] SKIPPED: tmp01o78g09.wav
[70/58949] SKIPPED: tmp01pnuj08.wav
[71/58949] SKIPPED: tmp01q3shsa.wav
[72/58949] SKIPPED: tmp01sihlr7.wav
[73/58949] SKIPPED: tmp01t5tzah.wav
[74/58949] SKIPPED: tmp01u5eso5.wav
[75/58949] SKIPPED: tmp01v67dra.wav
[76/58949] SKIPPED: tmp01v9ukbv.wav
[77/58949] SKIPPED: tmp01xvh1gg.wav
[78/58949] SKIPPED: tmp01y_t3hj.wav
[79/58949] SKIPPED: tmp021tsvze.wav
[80/58949] SKIPPED: tmp021y_4e4.wav
[81/58949] SKIPPED: tmp022v4_td.wav
[82/58949] SKIPPED: tmp025x50q2.wav
[83/58949] SKIPPED: tmp026d4ci_.wav
[84/58949] SKIPPED: tmp026dcx7o.wav
[85/58949] SKIPPED: tmp027084xq.wav
[86/58949] SKIPPED: tmp027fve1g.wav
[87/58949] SKIPPED: tmp027gzsd2.wav
[88/58949] SKIPPED: tmp027p9oz9.wav
[89/58949] SKIPPED: tmp0281_d73.wav
[90/58949] SKIPPED: tmp028rdda6.wav
[91/58949] SKIPPED: tmp029at9hx.wav
[92/58949] SKIPPED: tmp029hqzau.wav
[93/58949] SKIPPED: tmp029me02b.wav
[94/58949] SKIPPED: tmp02a48093.wav
[95/58949] SKIPPED: tmp02b111i0.wav
[96/58949] SKIPPED: tmp02bmps6p.wav
[97/58949] SKIPPED: tmp02ff51ic.wav
[98/58949] SKIPPED: tmp02f_w7fi.wav
[99/58949] SKIPPED: tmp02id0t3y.wav
[100/58949] SKIPPED: tmp02k07rj3.wav
[101/58949] SKIPPED: tmp02nj6rg6.wav
[102/58949] SKIPPED: tmp02p0qkxy.wav
[103/58949] SKIPPED: tmp02p9l3ic.wav
[104/58949] SKIPPED: tmp02qrbaup.wav
[105/58949] SKIPPED: tmp02r3kd39.wav
[106/58949] SKIPPED: tmp02r85_jo.wav
[107/58949] SKIPPED: tmp02rqsr9p.wav
[108/58949] SKIPPED: tmp02stw50r.wav
[109/58949] SKIPPED: tmp02sz3af1.wav
[110/58949] SKIPPED: tmp02utpic5.wav
[111/58949] SKIPPED: tmp02uyg5_8.wav
[112/58949] SKIPPED: tmp02vglo33.wav
[113/58949] SKIPPED: tmp02zfzwt0.wav
[114/58949] SKIPPED: tmp02_lnrg0.wav
[115/58949] SKIPPED: tmp030dui_0.wav
[116/58949] SKIPPED: tmp031e_w55.wav
[117/58949] SKIPPED: tmp031hwsrk.wav
[118/58949] SKIPPED: tmp0326plo4.wav
[119/58949] SKIPPED: tmp032_ged9.wav
[120/58949] SKIPPED: tmp0339uahv.wav
[121/58949] SKIPPED: tmp03494ch4.wav
[122/58949] SKIPPED: tmp034tjv7u.wav
[123/58949] SKIPPED: tmp035nk7js.wav
[124/58949] SKIPPED: tmp036f8r47.wav
[125/58949] SKIPPED: tmp038i0ovx.wav
[126/58949] SKIPPED: tmp038lmdfu.wav
[127/58949] SKIPPED: tmp038lx5vb.wav
[128/58949] SKIPPED: tmp038n9lua.wav
[129/58949] SKIPPED: tmp03bul7wj.wav
[130/58949] SKIPPED: tmp03ddmt81.wav
[131/58949] SKIPPED: tmp03eq4c_y.wav
